page title,userid,timestamp
A Song of Ice and Fire,0,2015-02-03T16:40:12Z
A Song of Ice and Fire,359256,2015-01-31T17:13:49Z
A Song of Ice and Fire,4358889,2015-01-31T15:38:41Z
A Song of Ice and Fire,23322590,2015-01-31T12:14:03Z
A Song of Ice and Fire,1808194,2015-01-11T00:51:21Z
A Song of Ice and Fire,23745058,2015-01-10T23:44:19Z
A Song of Ice and Fire,0,2015-01-10T18:47:23Z
A Song of Ice and Fire,16752040,2015-01-01T15:07:10Z
A Song of Ice and Fire,245620,2014-12-29T10:31:00Z
A Song of Ice and Fire,0,2014-12-29T08:15:56Z
A Song of Ice and Fire,0,2014-12-27T21:52:05Z
A Song of Ice and Fire,8989485,2014-12-15T11:02:19Z
A Song of Ice and Fire,23494532,2014-12-15T10:08:27Z
A Song of Ice and Fire,1808194,2014-12-10T00:25:08Z
A Song of Ice and Fire,1808194,2014-12-10T00:04:22Z
A Song of Ice and Fire,7183365,2014-12-09T21:51:23Z
A Song of Ice and Fire,0,2014-11-29T02:58:11Z
A Song of Ice and Fire,1808194,2014-11-15T05:46:33Z
A Song of Ice and Fire,245620,2014-11-14T23:33:43Z
A Song of Ice and Fire,0,2014-11-14T16:26:11Z
A Song of Ice and Fire,1808194,2014-11-12T21:43:41Z
A Song of Ice and Fire,0,2014-11-12T21:39:18Z
A Song of Ice and Fire,1808194,2014-11-12T15:33:08Z
A Song of Ice and Fire,14855375,2014-11-12T08:20:58Z
A Song of Ice and Fire,1808194,2014-11-12T05:49:59Z
A Song of Ice and Fire,1808194,2014-11-12T05:48:50Z
A Song of Ice and Fire,245620,2014-11-11T14:27:03Z
A Song of Ice and Fire,0,2014-11-11T13:40:21Z
A Song of Ice and Fire,245620,2014-11-01T23:55:38Z
A Song of Ice and Fire,0,2014-11-01T23:39:04Z
A Song of Ice and Fire,0,2014-10-31T18:51:40Z
A Song of Ice and Fire,359256,2014-10-31T17:42:56Z
A Song of Ice and Fire,10053876,2014-10-25T05:34:34Z
A Song of Ice and Fire,0,2014-10-11T00:22:10Z
A Song of Ice and Fire,1776566,2014-09-29T05:09:57Z
A Song of Ice and Fire,21328080,2014-09-28T05:21:39Z
A Song of Ice and Fire,0,2014-09-28T05:20:34Z
A Song of Ice and Fire,0,2014-09-27T18:44:38Z
A Song of Ice and Fire,11620066,2014-09-23T15:48:11Z
A Song of Ice and Fire,19926389,2014-09-23T14:37:33Z
A Song of Ice and Fire,245620,2014-09-20T21:57:09Z
A Song of Ice and Fire,15996738,2014-09-20T21:54:31Z
A Song of Ice and Fire,14844121,2014-09-20T17:18:56Z
A Song of Ice and Fire,22594710,2014-09-20T04:03:47Z
A Song of Ice and Fire,295821,2014-09-19T22:21:47Z
A Song of Ice and Fire,0,2014-09-19T14:54:10Z
A Song of Ice and Fire,0,2014-09-05T11:26:11Z
A Song of Ice and Fire,245620,2014-08-27T01:10:51Z
A Song of Ice and Fire,0,2014-08-27T01:06:07Z
A Song of Ice and Fire,13286072,2014-08-20T09:04:24Z
A Song of Ice and Fire,0,2014-08-20T09:04:14Z
A Song of Ice and Fire,0,2014-08-19T08:01:04Z
A Song of Ice and Fire,245620,2014-08-12T14:15:47Z
A Song of Ice and Fire,0,2014-08-12T13:48:45Z
A Song of Ice and Fire,0,2014-08-11T16:27:31Z
A Song of Ice and Fire,0,2014-08-06T22:14:24Z
A Song of Ice and Fire,13286072,2014-08-06T22:10:28Z
A Song of Ice and Fire,0,2014-08-06T22:10:18Z
A Song of Ice and Fire,1808194,2014-08-04T23:14:27Z
A Song of Ice and Fire,0,2014-08-04T14:48:04Z
A Song of Ice and Fire,1808194,2014-08-02T17:47:10Z
A Song of Ice and Fire,1808194,2014-08-02T17:41:31Z
A Song of Ice and Fire,1808194,2014-08-02T17:24:07Z
A Song of Ice and Fire,0,2014-07-31T23:41:21Z
