userid	timestamp
359256	2012-02-17T17:50:16Z
359256	2012-02-17T17:46:28Z
0	2012-02-16T22:35:07Z
0	2012-02-16T21:45:22Z
0	2012-02-16T06:12:01Z
2943446	2012-02-14T15:52:35Z
2943446	2012-02-14T15:03:15Z
2943446	2012-02-14T13:13:05Z
2943446	2012-02-13T18:45:17Z
2943446	2012-02-13T18:07:25Z
2943446	2012-02-13T18:02:01Z
2943446	2012-02-13T17:22:09Z
2943446	2012-02-13T12:58:08Z
2943446	2012-02-13T09:04:05Z
0	2012-02-13T06:03:12Z
0	2012-02-13T05:55:46Z
0	2012-02-12T22:51:51Z
0	2012-02-12T22:47:03Z
0	2012-02-12T22:42:16Z
6277327	2012-02-12T20:39:42Z
359256	2012-02-12T19:32:08Z
2943446	2012-02-12T16:58:29Z
2943446	2012-02-12T13:40:27Z
2943446	2012-02-12T13:00:14Z
2943446	2012-02-12T09:55:58Z
2943446	2012-02-11T17:00:27Z
0	2012-02-11T00:49:22Z
16272291	2012-02-10T22:41:05Z
2943446	2012-02-10T19:00:37Z
2943446	2012-02-10T14:30:22Z
2943446	2012-02-10T12:49:18Z
0	2012-02-10T01:14:32Z
2943446	2012-02-09T18:32:47Z
2943446	2012-02-09T12:52:50Z
9612106	2012-02-08T20:42:01Z
2943446	2012-02-08T13:15:25Z
2943446	2012-02-08T07:45:33Z
0	2012-02-08T00:19:59Z
0	2012-02-07T23:54:30Z
853207	2012-02-07T16:52:55Z
853207	2012-02-07T16:51:34Z
7611264	2012-02-07T16:50:02Z
2943446	2012-02-07T16:30:51Z
2943446	2012-02-07T14:57:56Z
2943446	2012-02-07T09:23:01Z
0	2012-02-07T03:32:44Z
0	2012-02-07T03:19:59Z
2943446	2012-02-06T18:28:20Z
2943446	2012-02-06T14:02:59Z
2943446	2012-02-06T12:52:34Z
2943446	2012-02-06T10:24:48Z
2943446	2012-02-06T10:12:15Z
2943446	2012-02-06T09:34:50Z
2943446	2012-02-05T18:28:11Z
2943446	2012-02-05T16:55:38Z
2943446	2012-02-05T16:01:12Z
2943446	2012-02-05T15:24:48Z
2943446	2012-02-05T14:34:37Z
9892229	2012-02-05T14:16:01Z
2943446	2012-02-05T11:05:23Z
2943446	2012-02-05T10:10:22Z
2943446	2012-02-05T00:40:35Z
2943446	2012-02-05T00:34:38Z
0	2012-02-04T22:33:36Z
2943446	2012-02-04T19:21:20Z
2943446	2012-02-04T18:25:55Z
2943446	2012-02-04T18:04:08Z
2943446	2012-02-04T17:34:12Z
2943446	2012-02-04T16:46:51Z
2943446	2012-02-04T14:28:40Z
2943446	2012-02-04T13:30:53Z
2943446	2012-02-04T12:01:31Z
2943446	2012-02-04T11:09:59Z
0	2012-02-04T09:28:56Z
